id,occupation
AlDalwa1718,Landed
AlDalze1825,Civil
AlDalze1825,Landed
AlDaven1846,Writer
AlDaven1846,Poet
AlDaven1846,Political
AlDaven1846,Craft
AlDavis1793,Landed
AlDavis1829,Communication
AlDavis1829,Bank
AlDavis1829,Civil
AlDavis1829,Landed
AlDawso1831,Law
AlDawso1831,Political
AlDawso1831,Landed
AlDay1841,Painter
AlDay1841,Art
AlDay1841,Art dealer
AlDay1841,Communication
AlDenha1840,None
AlDento1740,Political
AlDento1740,Civil
AlDento1740,Law
AlDick1785,Medicine
AlDick1785,Landed
AlDicks1840,Army
AlDigby1801,None
AlDirom1830,Writer
AlDirom1830,Historian
AlDirom1830,Army
AlDirom1830,Landed
AlDixon1753,None
AlDon1815,Army
AlDon1815,Landed
AlDon1826,Political
AlDon1826,Landed
AlDonal1793,Professor
AlDonal1793,Medicine
AlDonal1794,Book
AlDonal1794,Book seller
AlDonal1794,Communication
AlDonal1794,Landed
AlDonki1860,None
AlDonov1846,Political
AlDonov1846,Civil
AlDonov1846,Landed
AlDougl1812,Medicine
AlDougl1812,Landed
AlDow1779,Writer
AlDow1779,Dramatist
AlDow1779,Historian
AlDow1779,Army
AlDow1800,Army
AlDowli1868,Law
AlDowli1868,Civil
AlDrumm1769,Writer
AlDrumm1769,Travel writer
AlDrumm1769,Diplomacy
AlDrumm1769,Civil
AlDrumm1769,Communication
AlDrumm1782,Travel
AlDrumm1782,Medicine
AlDuff1851,Army
AlDuff1851,Political
AlDuff1851,Landed
AlDuff1851,Aristocracy
AlDuff1872,Writer
AlDuff1872,Historian
AlDuff1872,Civil
AlDuffi1833,None
AlDunca1777,Civil
AlDunca1777,Landed
AlDunca1795,Clergy
AlDunca1859,Army
AlDunki1879,Writer
AlDunki1879,Book seller
AlDunki1879,Printer
AlDunki1879,Antiquary
AlDunki1879,Communication
AlDunki1879,Book
AlDunlo1747,Writer
AlDunlo1747,Classics scholar
AlDunlo1747,College headmaster
AlDunlo1747,Professor
AlDunlo1747,Clergy
AlDunlo1840,Bank
AlDunlo1870,Law
AlDunlo1870,Political
AlDunlo1870,Landed
AlDunlo1880,Law
AlDunlo1880,Landed
AlDwarr1856,None
AlDyce1835,Army
AlDyce1869,Writer
AlDyce1869,Poet
AlDyce1869,Antiquary
AlDyce1869,Clergy
AlEason1796,Writer
AlEason1796,Science
AlEason1796,Medicine
AlEddie1788,Communication
AlEdgar1817,Navy
AlElder1876,Book
AlElder1876,Book seller
AlElder1876,Communication
AlEllic1805,Law
AlEllic1805,Communication
AlEllic1805,Landed
AlEllic1853,Navy
AlEllic1853,Political
AlEllic1853,Civil
AlEllic1853,Landed
AlEllio1778,Communication
AlEllio1778,Civil
AlErski1727,Political
AlErski1727,Landed
AlEvely1837,Landed
AlEvere1847,Writer
AlEvere1847,Diplomacy
AlEvere1847,Civil
AlEvere1847,Political
AlEwing1765,Book seller
AlEwing1765,Printer
AlEwing1765,Book
