id,name,sub_type,place,type
RoyalAcSc,Royal Academy Schools,finearts|school,"London, England",education
RugbySch,Rugby School,grammarschool|school,"Rugby, Warwickshire, England",education
SandhurstAc,"Royal Military Academy, Sandhurst",military|school,"Sandhurst, Berkshire, England",education
SaWhyteSch,"Samuel Whyte's School, Dublin",grammarschool|school,"Dublin, Ireland",education
SedbergGS,Sedbergh School,grammarschool|school,"Sedbergh, Yorkshire, England",education
SherbSch,Sherborne School,grammarschool|school,"Sherborne, Dorsetshire, England",education
ShrewsbGS,Shrewsbury School,grammarschool|school,"Shrewsbury, Shropshire, England",education
SidnCam,"Sidney Sussex College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
StAndrew,St Andrews University,college|school,NA,education
StBeesSch,St Bees School,grammarschool|school,"St Bees, Cumberland, England",education
StAlbOx,"St Alban Hall, Oxford",college|school,"Oxford, Oxfordshire, England",education
StCaCam,"St Catharine's College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
StEdmOx,"St Edmund Hall, Oxford",college|school,"Oxford, Oxfordshire, England",education
StJoCam,"St John's College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
StJoOx,"St John's College, Oxford",college|school,"Oxford, Oxfordshire, England",education
StMaryOx,"St Mary Hall, Oxford",college|school,"Oxford, Oxfordshire, England",education
StOmerCol,St Omers College,college|school,"St Omers, Belgium",education
StPaul,St Paul's School,grammarschool|school,"London, England",education
StanmSch,Stanmore School,grammarschool|school,"Stanmore, Middlesex, England",education
StonyhCol,Stonyhurst College,college|school,"Stonyhurst, Lancashire, England",education
SunburySch,Sunbury School,grammarschool|school,"Sunbury, Berkshire, England",education
SutColdGS,Sutton Coldfield grammar school,grammarschool|school,"Sutton Coldfield, Warwickshire, England",education
TonbrSch,Tonbridge School,grammarschool|school,"Tonbridge, Kent, England",education
TrinCam,"Trinity College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
TrinDub,"Trinity College, Dublin",college|school,"Dublin, Ireland",education
TrinHaCam,"Trinity Hall, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
TrinOx,"Trinity College, Oxford",college|school,"Oxford, Oxfordshire, England",education
TruroGS,Truro grammar school,grammarschool|school,"Truro, Cornwall, England",education
UnLondon,University of London,college|school,"London, England",education
UnivOx,"University College, Oxford",college|school,"Oxford, Oxfordshire, England",education
UnPenn,University of Pennsylvania,college|school,"Philadelphia, Pennsylvania",education
WadhOx,"Wadham College, Oxford",college|school,"Oxford, Oxfordshire, England",education
WakefdGS,Wakefield grammar school,grammarschool|school,"Wakefield, Yorkshire, England",education
WarringtAc,Warrington Academy,dissentingacademy|school,"Warrington, Lancashire, England",education
WestmSch,Westminster School,grammarschool|school,"London, England",education
WmMaryCol,College of William and Mary,college|school,"Williamsburg, Virginia",education
WinchCol,Winchester College,grammarschool|school,"Winchester, Hampshire, England",education
WoolwAc,"Royal Military Academy, Woolwich",military|school,"Woolwich, Kent, England",education
WorcOxf,"Worcester College, Oxford",college|school,"Oxford, Oxfordshire, England",education
YaleCol,Yale College,college|school,"New Haven, Connecticut",education
Adventurer1752,"The Adventurer (London, 1752-1754)",essay|publication,"London, England",publications
AckermannJuv1830,"Ackermann's Juvenile Forget Me Not (London, 1830-1832)",literary annual|publication,"London, England",publications
Ainsworths,"Ainsworth's Magazine (London, 1842-1854)",magazine|publication,"London, England",publications
Amethyst1832,"The Amethyst, or Christian's Annual (London, 1832-1834)",literary annual|publication,"London, England",publications
Amulet1826,"The Amulet, or Christian and Literary Remembrancer (London, 1826-1836)",literary annual|publication,"London, England",publications
Anniversary1829,"The Anniversary (London, 1829)",literary annual|publication,"London, England",publications
AntiJacobinMag,"The Anti-Jacobin (London, 1797-1798)",magazine|publication,"London, England",publications
AntiJacobinRev,"The Anti-Jacobin Review and Magazine (London, 1798-1821)",magazine|publication,"London, England",publications
AthenianLetters,"Athenian Letters (Cambridge, 1741-1743)",essay|publication,"Cambridge, Cambridgeshire, England",publications
AuroraBorealis,"The Aurora Borealis: a Literary Annual (Newcastle-upon-Tyne, 1833)",literary annual|publication,"Newcastle Upon Tyne, Northumberland, England",publications
BentleysMisc,"Bentley's Miscellany (London, 1837-1868)",magazine|publication,"London, England",publications
Bijou1828,"The Bijou, or Annual of Literature and the Arts (London, 1828-1830)",literary annual|publication,"London, England",publications
Blackwoods,"Blackwood's Edinburgh Magazine (Edinburgh, 1817-1905)",magazine|publication,"Edinburgh, Scotland",publications
BritishCritic,"The British Critic (London, 1793-1843)",publication|review,"London, England",publications
BritishForRev,"The British and Foreign Review (London, 1835-1844)",publication|review,"London, England",publications
BritishQuarterly,"The British Quarterly Review (London, 1845-1886)",publication|review,"London, England",publications
Cabinet1807,"The Cabinet, or, Monthly Report of Polite Literature (London, 1807-1808)",magazine|publication,"London, England",publications
Champ1814,"The Champion (London, 1814-1822)",magazine|publication,"London, England",publications
ChristmasBox,"The Christmas Box; an Annual for Children (London, 1828-1829)",literary annual|publication,"London, England",publications
ThHoodComic1845,"The Comic Annual (London, 1830-39, 1842)",literary annual|publication,"London, England",publications
ComicOffering,"The Comic Offering, or, Ladies' Melange of Literary Mirth (London, 1831-1835)",literary annual|publication,"London, England",publications
Connoisseur1756,"The Connoisseur (London, 1754-1756)",essay|publication,"London, England",publications
ContemporaryRev,"The Contemporary Review (London, 1866-)",publication|review,"London, England",publications
CornhillMag,"The Cornhill Magazine (London, 1860-1939, 1944-46)",magazine|publication,"London, England",publications
CourtMag,"The Court Magazine (London, 1832-1838)",publication,"London, England",publications
CriticalRev,"The Critical Review, or, Annals of Literature (London, 1756-1817)",publication|review,"London, England",publications
Diadem1838,"The Diadem: a Book for the Boudoir (London, 1838)",literary annual|publication,"London, England",publications
DodsleyCol,"Dodsley's Collection of Poems by Several Hands (London, 1748-1758)",anthology|publication,"London, England",publications
DublinRev,"The Dublin Review (Dublin, 1836-)",publication|review,"Dublin, Ireland",publications
DublinUniMag,"The Dublin University Magazine (Dublin, 1833-1877)",magazine|publication,"Dublin, Ireland",publications
EclecticRev,"The Eclectic Review (London, 1805-1868)",publication|review,"London, England",publications
EdinburghRev,"The Edinburgh Review (Edinburgh, 1802-1929)",publication|review,"Edinburgh, Scotland",publications
EngRev1783,"The English Review (London, 1783-1796)",publication|review,"London, England",publications
Etonian1820,"The Etonian (Eton, 1820-1821)",magazine|publication,"Eton, Berkshire, England",publications
EuropeanMag,"The European Magazine (London, 1782-1826)",magazine|publication,"London, England",publications
FindensTableaux,"Finden's Tableaux (London, 1837 to 1844)",literary annual|publication,"London, England",publications
